Year,Month,Day,Hour,Minute,Temperature,GHI
2018,1,30,22,0,19,0
2018,1,30,23,0,18.9,0
2018,1,31,0,0,18.6,0
2018,1,31,1,0,19.3,0
2018,1,31,2,0,22.2,129
2018,1,31,3,0,25.4,366
2018,1,31,4,0,28.2,592
2018,1,31,5,0,30.5,777
2018,1,31,6,0,32.2,893
2018,1,31,7,0,33.4,938
2018,1,31,8,0,34,905
2018,1,31,9,0,34,791
2018,1,31,10,0,33.2,612
2018,1,31,11,0,31.3,385
2018,1,31,12,0,26.5,143
2018,1,31,13,0,24.3,0
2018,1,31,14,0,23,0
2018,1,31,15,0,21.6,0
2018,1,31,16,0,20.5,0
2018,1,31,17,0,19.7,0
2018,1,31,18,0,18.9,0
2018,1,31,19,0,18.3,0
2018,1,31,20,0,17.7,0
2018,1,31,21,0,17.3,0
2018,1,31,22,0,17,0
2018,1,31,23,0,16.7,0
2018,2,1,0,0,16.5,0
2018,2,1,1,0,18,0
2018,2,1,2,0,21.6,120
2018,2,1,3,0,24.9,381
2018,2,1,4,0,27.8,614
2018,2,1,5,0,30.3,798
2018,2,1,6,0,32.2,919
2018,2,1,7,0,33.3,961
2018,2,1,8,0,33.8,920
2018,2,1,9,0,33.7,804
2018,2,1,10,0,33,623
2018,2,1,11,0,31.3,393
2018,2,1,12,0,26.6,149
2018,2,1,13,0,24.4,0
2018,2,1,14,0,23.2,0
2018,2,1,15,0,21.9,0
2018,2,1,16,0,20.7,0
2018,2,1,17,0,19.7,0
2018,2,1,18,0,19,0
2018,2,1,19,0,18.3,0
2018,2,1,20,0,17.7,0
2018,2,1,21,0,17.1,0
2018,2,1,22,0,16.7,0
2018,2,1,23,0,16.3,0
2018,2,2,0,0,16,0
2018,2,2,1,0,17.5,0
2018,2,2,2,0,21,141
2018,2,2,3,0,24.4,389
2018,2,2,4,0,27.7,623
2018,2,2,5,0,30.4,809
2018,2,2,6,0,32.2,931
2018,2,2,7,0,33.4,974
2018,2,2,8,0,34,935
2018,2,2,9,0,33.9,819
2018,2,2,10,0,33.2,635
2018,2,2,11,0,31.5,402
2018,2,2,12,0,26.6,153
2018,2,2,13,0,24.4,0
2018,2,2,14,0,23.2,0
2018,2,2,15,0,21.8,0
2018,2,2,16,0,20.4,0
2018,2,2,17,0,19.4,0
2018,2,2,18,0,18.5,0
2018,2,2,19,0,17.8,0
2018,2,2,20,0,17.1,0
2018,2,2,21,0,16.5,0
2018,2,2,22,0,16,0
2018,2,2,23,0,15.7,0
2018,2,3,0,0,15.4,0
2018,2,3,1,0,17,0
2018,2,3,2,0,20.8,146
2018,2,3,3,0,24.3,398
2018,2,3,4,0,27.2,635
2018,2,3,5,0,29.7,823
2018,2,3,6,0,31.6,947
2018,2,3,7,0,32.8,990
2018,2,3,8,0,33.5,952
2018,2,3,9,0,33.5,832
2018,2,3,10,0,32.6,648
2018,2,3,11,0,30.8,412
2018,2,3,12,0,26.1,159
2018,2,3,13,0,23.9,0
2018,2,3,14,0,23,0
2018,2,3,15,0,21.9,0
2018,2,3,16,0,20.7,0
2018,2,3,17,0,19.8,0
2018,2,3,18,0,19.2,0
2018,2,3,19,0,18.6,0
2018,2,3,20,0,18,0
2018,2,3,21,0,17.3,0
2018,2,3,22,0,16.9,0
2018,2,3,23,0,16.8,0
2018,2,4,0,0,17,0
2018,2,4,1,0,18.1,0
2018,2,4,2,0,20.4,142
2018,2,4,3,0,23.4,391
2018,2,4,4,0,26.4,626
2018,2,4,5,0,29,815
2018,2,4,6,0,31.1,933
2018,2,4,7,0,32.6,980
2018,2,4,8,0,33.4,858
